SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1715798099.944324, 2.857480, 4.242226, -12.140099, -0.497016, -0.196458, 1.521022, 14.958252, 133.771774, -232.667511
1715798099.977638, 3.724929, 3.943998, -13.868413, -0.573001, -0.154422, 1.899440, 15.827255, 133.548035, -232.539307
1715798100.011066, 2.500145, 4.572177, -15.305383, -0.137588, -0.165906, 2.454198, 15.852280, 133.445602, -232.548233
1715798100.044298, 0.742951, 4.955399, -17.181988, 0.364183, -0.492064, 2.611527, 17.028091, 133.451538, -232.439407
1715798100.077695, 0.373795, 4.201974, -15.234156, 0.253102, -0.398870, 2.730893, 18.245987, 133.999619, -232.731979
1715798100.110989, 0.225354, 3.878008, -15.699379, -0.277963, -0.138220, 2.861924, 19.192703, 133.665939, -232.842422
1715798100.144319, -1.169568, 3.688866, -16.957083, -0.031645, -0.404349, 2.704892, 19.777634, 133.454498, -232.729767
1715798100.177722, -0.701052, 3.185485, -16.422577, 0.503408, -0.998426, 2.628014, 21.156342, 133.274216, -232.670120
1715798100.211052, -2.186804, 3.944298, -14.520384, 0.992788, -1.223840, 2.259840, 23.071472, 133.539520, -232.748505
1715798100.244332, -3.930830, 4.211101, -13.334656, 1.266069, -0.810129, 1.546354, 23.706284, 133.531052, -233.086411
1715798100.277686, -3.468001, 4.520253, -12.297069, 1.466660, -0.792297, 1.254170, 24.473907, 133.985260, -233.857376
1715798100.310970, -4.604948, 4.964527, -10.713454, 1.209853, -0.772193, 0.727304, 25.764389, 134.479752, -234.405151
1715798100.344335, -5.553800, 4.665401, -11.283424, 1.620066, -0.534521, -0.049334, 26.147308, 134.773819, -234.738922
1715798100.377661, -4.031686, 4.087351, -8.445397, 1.369185, -1.297851, -0.063086, 26.673111, 135.443481, -235.499496
1715798100.411046, -5.807286, 3.406201, -7.745691, 0.963271, -1.090473, -0.620733, 27.205063, 136.571274, -236.581024
1715798100.444339, -5.076007, 2.901772, -7.125443, 1.579447, -0.703034, -1.262065, 27.210403, 137.541229, -237.361145
1715798100.477701, -4.686350, 2.986617, -4.123115, 1.409024, -1.391526, -1.443341, 27.236816, 138.344299, -237.920242
1715798100.511033, -4.559009, 2.151041, -2.851345, 1.288686, -1.303476, -1.889920, 27.159561, 139.562943, -239.037186
1715798100.544325, -3.999813, 1.850119, -1.514781, 0.768331, -1.480212, -2.094688, 26.418579, 141.107330, -240.233017
1715798100.577396, -3.028964, 1.144728, -1.607258, 0.259231, -1.297504, -2.218278, 26.515625, 141.379974, -240.605896
1715798100.611088, -2.683152, 0.040253, -2.900575, 0.316708, -0.382238, -2.485307, 25.574097, 142.284393, -241.020004
