SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1715946949.365729, -1.982399, -1.848024, 3.350835, -0.721103, -0.542095, 0.101421, 16.040527, 126.461273, -232.838837
1715946949.399094, -1.035343, -1.580323, 2.247258, -0.989135, -0.373198, 0.286210, 16.694382, 125.703537, -232.411377
1715946949.432424, -0.191835, -1.188272, 2.390461, -0.895532, 0.224434, 0.693955, 16.801498, 124.810043, -232.538895
1715946949.465755, -0.139013, -0.649278, 2.803461, -0.819924, 1.295998, 0.798845, 16.199326, 124.591507, -232.582596
1715946949.498743, 0.244059, 0.673519, 1.429189, -1.060657, 1.599759, 0.672950, 15.152893, 123.661133, -232.542511
1715946949.532505, 0.266654, 3.297564, 0.423175, -1.274668, 2.367674, 0.277239, 13.684464, 122.735321, -232.994339
1715946949.565768, 0.047136, 5.952434, -1.540669, -2.128103, 2.629423, -1.060298, 11.760010, 120.745483, -233.538910
1715946949.599097, 4.274697, 5.505018, -9.260922, -3.232124, 1.561275, -1.324116, 11.194489, 119.340668, -234.018356
1715946949.632503, 4.452617, 8.000674, -15.798140, -2.667396, 1.251226, -1.643072, 10.749039, 116.657776, -235.642517
1715946949.665731, 5.885397, 8.087464, -23.255479, -2.297669, 2.016755, -1.639982, 10.516510, 114.137390, -237.324997
1715946949.699042, 2.518551, 7.532009, -28.767380, -1.494162, -0.250769, -0.234634, 10.245300, 113.432663, -237.776474
1715946949.732407, -2.551321, 6.177190, -25.634568, -1.430290, -0.549581, -0.691266, 11.131500, 112.198883, -238.052277
1715946949.765733, -0.117765, 3.971681, -27.355101, -1.373989, 1.768440, -1.194319, 11.498825, 111.054779, -239.445450
1715946949.799185, -0.521786, -0.506523, -30.019099, -0.295565, 0.997324, -0.621757, 11.316681, 110.341141, -239.655350
1715946949.832344, -0.370203, -2.346767, -30.607175, 0.227495, -0.004502, 0.391591, 10.750824, 110.230103, -240.097214
